S_SRNUMBER1,M_RECORD_TYPE,M_RECORD_STATUS,M_CALL_RESULT,CIRCLE,Contacted / Not Contacted,Retained / Not Retained,RetainedCode,REGION,ZONE,Source,CC_REASON,CC_SUBREASON,Customer Segment,Service Segment,Customer Class
82963178,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,0.72,Chennai,ZONE4,Email,Low/No Usage,Taken a new airtel connection,Consumer,Gold,Individual
82963476,General,Updated,No Answer,Tamilnadu,Contacted,Flow to Field,0.33,Others,ZONE1,Out Call,Low/No Usage,Branch/ Project Closed,Consumer,Platinum,Individual
82963496,General,Updated,Dropped on No Answer,Karnataka,Contacted,Flow to Field,0.21,Bangalore,Bangalore South,Email,Shifting,Shifting abroad,Consumer,GoldNew,Home
82963552,General,Updated,No Answer,Gujarat,Contacted,Flow to Field,0,AHMEDABAD,Ahmedabad,Email,Low/No Usage,Branch/ Project Closed,Consumer,GoldNew,Home
82963672,General,Updated,Abandoned,Karnataka,Contacted,Flow to Field,,Mysore,Mysore,Email,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Home
82963824,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,MADURAI,Madurai,Email,Low/No Usage,Taken a new competition connection,Consumer,Platinum,Home
82963946,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Email,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Individual
82964078,General,Updated,Dropped on No Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore South,Email,Low/No Usage,Taken a new airtel connection,Consumer,Platinum,Individual
82964124,General,Updated,Abandoned,Andhra Pradesh,Contacted,Flow to Field,,Hyderabad,Hyderabad Zone2,Voice Call,Shifting,Customer shifting to non wired city,Consumer,GoldNew,Individual
82964266,General,Updated,Abandoned,Andhra Pradesh,Contacted,Retained,,Hyderabad,Hyderabad Zone2,Email,Network Experience,Delay in Fault Repair / Quality of Fault Repair,Consumer,GoldNew,Individual
82964446,General,Updated,Abandoned,Tamilnadu,Contacted,Flow to Field,,Others,ZONE2,Out Call,Low/No Usage,Taken a competition connection,Consumer,Platinum,Individual
82964492,General,Updated,Abandoned,Karnataka,Contacted,Flow to Field,,Bangalore,Bangalore East,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
82964686,General,Updated,Abandoned,Karnataka,Not Contacted,Flow to Field,,Bangalore,Bangalore East,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Home
82964688,General,Updated,Abandoned,Kerala,Contacted,Flow to Field,,Ernakulam,Ernakulam,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Individual
82965178,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Shifting,"Shifting to non wired area, within city",Consumer,GoldNew,Individual
82965186,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Coimbatore,Tirrupur,Shifting Rejects,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Individual
82965394,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Others,ZONE1,Out Call,Low/No Usage,Branch/ Project Closed,Consumer,Platinum,Individual
82965426,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,Voice Call,Shifting,"Shifting to non wired area, within city",Consumer,Gold,Home
82965436,General,Updated,Abandoned,Tamilnadu,Contacted,Flow to Field,,Others,ZONE1,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
82965584,General,Updated,Abandoned,Tamilnadu,Contacted,Not Retained,,Others,ZONE2,Out Call,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Home
82965674,General,Updated,Dropped on No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Email,Network Experience,Browsing Experience,Consumer,Platinum,Home
82965728,General,Updated,Abandoned,Tamilnadu,Contacted,Not Retained,,Others,ZONE2,Email,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Individual
82965792,General,Updated,Abandoned,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,Email,Shifting,Shifting to non-wired area,Business,Platinum,Commercial
82965822,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Service Related,Poor Service at ARC's,Consumer,GoldNew,Individual
82965918,General,Updated,Abandoned,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Email,Network Experience,Browsing Experience,Consumer,GoldNew,Home
82966000,General,Updated,Abandoned,Andhra Pradesh,Contacted,Not Retained,,Hyderabad,Hyderabad Zone2,Retention,Shifting,Already taken a competition connection,Consumer,Gold,Individual
82966334,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Others,ZONE2,Voice Call,Competition,Higher Speed by competition,Consumer,Platinum,Individual
82966346,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Flow to Field,,Others,ZONE1,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
82966978,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,Email,Service Related,Poor Service at Call Centre,Consumer,GoldNew,Individual
82967174,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Nodal email,Low/No Usage,User Shifting,Consumer,Gold,Home
82967176,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Others,ZONE1,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,GoldNew,Home
82967248,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Walkin,Low/No Usage,Usage shifted to Mobile/Dongle/Data card,Consumer,Gold,Individual
82967488,General,Updated,No Answer,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,CyberNET,Low/No Usage,Family member using net has moved out,Consumer,Platinum,Home
82967528,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Email,Network Experience,Browsing Experience,Consumer,GoldNew,Individual
82967536,General,Updated,Abandoned,Mumbai,Contacted,Flow to Field,,Others,Central Mumbai,Email,Shifting,"Shifting to non wired area, within city",Consumer,Gold,Home
82967586,General,Updated,Abandoned,Tamilnadu,Contacted,Not Retained,,Chennai,ZONE3,Voice Call,Shifting,Already taken a competition connection,Consumer,Platinum,Home
82967598,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Service Related,Complaint Resolution Pending-Network,Consumer,Platinum,Home
82967602,General,Updated,Abandoned,Mumbai,Contacted,Flow to Field,,Others,West Mumbai,Email,Low/No Usage,Temporary Requirement,Consumer,GoldNew,Home
82967724,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Chennai,ZONE3,Voice Call,Shifting,Customer doesn't want to shift due to number change,Consumer,Platinum,Micro
82968388,General,Updated,Abandoned,Tamilnadu,Not Contacted,Flow to Field,,MADURAI,Madurai,Email,Low/No Usage,Temporary Requirement,Consumer,GoldNew,Individual
82968568,General,Updated,Abandoned,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Email,Low/No Usage,Usage shifted to Mobile/Dongle/Data card,Consumer,Gold,Home
82969260,General,Updated,No Answer,Andhra Pradesh,Contacted,Not Retained,,Hyderabad,Hyderabad Zone2,Retention,Low/No Usage,Usage shifted to Mobile/Dongle/Data card,Consumer,Gold,Commercial
82969388,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Voice Call,Shifting,Shifting to non-wired area,Consumer,Gold,Individual
82969898,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Individual
82969970,General,Updated,No Answer,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Home
82970452,General,Updated,Stale,Andhra Pradesh,Contacted,Retained,,Hyderabad,Hyderabad Zone1,Voice Call,Low/No Usage,Usage shifted to Mobile/Dongle/Data card,Consumer,Gold,Individual
82971112,General,Updated,Answer,Maharashtra,Contacted,Flow to Field,,PUNE,Pune,Retention,Shifting,Shifting abroad,Consumer,Gold,Home
82971186,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Service Related,Wrong Resolution Given,Consumer,Gold,Home
82971684,General,Updated,Answer,Andhra Pradesh,Not Contacted,Flow to Field,,Hyderabad,Hyderabad Zone2,Retention,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Individual
82972038,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore South,TITANIUM CC,Service Related,Poor Service by TNL,Consumer,Platinum,Home
82972230,General,Updated,Answer,Karnataka,Not Contacted,Flow to Field,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Shifting abroad,Consumer,Gold,Home
82972584,General,Updated,Stale,Andhra Pradesh,Contacted,Flow to Field,,Hyderabad,Hyderabad Zone2,TITANIUM CC,Competition,"Lower Rental, better benefits by competition",Consumer,Gold,Individual
82972778,General,Updated,No Answer,Karnataka,Not Contacted,Flow to Field,,Bangalore,Bangalore East,TITANIUM CC,Shifting,Shifting to non-wired area,Consumer,Platinum,Home
82973534,General,Updated,Answer,Andhra Pradesh,Not Contacted,Flow to Field,,Hyderabad,Hyderabad Zone2,Email,Shifting,Customer shifting to non wired city,Consumer,Platinum,Home
82974042,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore East,Email,Shifting,Already taken a competition connection,Consumer,GoldNew,Individual
82974384,General,Updated,Dropped on No Answer,Karnataka,Contacted,Flow to Field,,Bangalore,Bangalore North,Email,Network Experience,Frequent Line Disconnection / Phone Dead,Consumer,GoldNew,Individual
82974828,General,Updated,Stale,Gujarat,Contacted,Retained,,AHMEDABAD,Ahmedabad,Out Call,Service Related,Poor Service at Call Centre,Consumer,Gold,Home
82975188,General,Updated,Answer,Andhra Pradesh,Not Contacted,Flow to Field,,Hyderabad,Hyderabad Zone1,Retention,Shifting,Customer shifting to non wired city,Consumer,Gold,Individual
82975660,General,Updated,Answer,Maharashtra,Contacted,Flow to Field,,PUNE,Pune,Retention,Shifting,Shifting to non-wired area,Consumer,Platinum,Home
82975660,General,Updated,Dropped on No Answer,Maharashtra,Contacted,Flow to Field,,PUNE,Pune,Retention,Shifting,Shifting to non-wired area,Consumer,Platinum,Home
82975990,General,Updated,Answer,Maharashtra,Contacted,Not Retained,,PUNE,Pune,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Business,Platinum,Commercial
82975990,General,Updated,Answer,Maharashtra,Contacted,Not Retained,,PUNE,Pune,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Business,Platinum,Commercial
82975996,General,Updated,Answer,Gujarat,Not Contacted,Flow to Field,,SURAT,Surat,Email,Low/No Usage,Excess Line,Consumer,Gold,Home
82977186,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore South,Voice Call,Competition,Delay in Fault n Repair,Consumer,Platinum,Home
82977642,General,Updated,Answer,Maharashtra,Contacted,Flow to Field,,PUNE,Pune,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Home
82977642,General,Updated,No Answer,Maharashtra,Contacted,Flow to Field,,PUNE,Pune,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Home
82977890,General,Updated,Dropped on No Answer,Karnataka,Not Contacted,Flow to Field,,Bangalore,Bangalore South,Voice Call,Network Experience,Browsing Experience,Consumer,Platinum,Home
82977890,General,Updated,Dropped on No Answer,Karnataka,Not Contacted,Flow to Field,,Bangalore,Bangalore South,Voice Call,Network Experience,Browsing Experience,Consumer,Platinum,Home
82977994,General,Updated,Answer,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,Email,Shifting,Shifting abroad,Consumer,Platinum,Home
82977994,General,Updated,Dropped on No Answer,Maharashtra,Not Contacted,Flow to Field,,PUNE,Pune,Email,Shifting,Shifting abroad,Consumer,Platinum,Home
82978122,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Others,MPAL,Retention,Shifting,Shifting abroad,Consumer,Gold,Home
82978122,General,Updated,No Answer,Karnataka,Contacted,Not Retained,,Others,MPAL,Retention,Shifting,Shifting abroad,Consumer,Gold,Home
82978168,Campaign CallBack,Ready,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore South,Retention,Shifting,Customer shifting to non wired city,Consumer,Gold,Home
82978168,Campaign CallBack,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore South,Retention,Shifting,Customer shifting to non wired city,Consumer,Gold,Home
82978348,General,Ready,Others,Gujarat,Not Contacted,Flow to Field,,AHMEDABAD,Ahmedabad,AES Email,Low/No Usage,Branch Closed,Business,GoldNew,Commercial
82979036,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Others,ZONE1,Appellate email,Affordability Issue,Financial Inability,Consumer,GoldNew,Individual
82979188,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,MADURAI,Madurai,Walkin,Low/No Usage,Taken a new airtel connection,Consumer,Platinum,Individual
82979266,General,Updated,Others,Gujarat,Contacted,Flow to Field,,AHMEDABAD,Ahmedabad,Shifting Rejects,Shifting,Already taken a competition connection,Business,Platinum,Commercial
82979324,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Coimbatore,Coimbatore,Email,Low/No Usage,Usage shift to mobile/datacard/4G,Business,Platinum,Micro
82979630,General,Updated,Dropped on No Answer,Kerala,Contacted,Flow to Field,,Ernakulam,Ernakulam,Walkin,Shifting,Shifting abroad,Consumer,GoldNew,Individual
82980138,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE2,Voice Call,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Platinum,Individual
82980204,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Retention,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Gold,Commercial
82980570,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,South Mumbai,Email,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
82980570,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,South Mumbai,Email,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
82980628,General,Updated,Answer,Andhra Pradesh,Not Contacted,Flow to Field,,Hyderabad,Hyderabad Zone2,Voice Call,Competition,BSNL - 1MBPS Throttle Speed,Business,Gold,Small Enterprise
82980660,General,Updated,Answer,Andhra Pradesh,Contacted,Flow to Field,,Hyderabad,Hyderabad Zone2,Email,Network Experience,Delay in Fault Repair / Quality of Fault Repair,Consumer,Gold,Individual
82980716,General,Ready,Answer,Andhra Pradesh,Not Contacted,Flow to Field,,Hyderabad,Hyderabad Zone2,Email,Shifting,Customer already taken a new connection of competition,Consumer,Gold,Commercial
82980720,General,Updated,Answer,Gujarat,Not Contacted,Flow to Field,,AHMEDABAD,Ahmedabad,Walkin,Low/No Usage,Temporary Requirement,Consumer,GoldNew,Home
82980800,General,Updated,No Answer,Tamilnadu,Contacted,Not Retained,,Chennai,ZONE4,Walkin,Price Hike,Price Hike,Consumer,Platinum,Home
82981174,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,MADURAI,Madurai,Voice Call,Shifting,Customer shifting to non wired city,Consumer,Gold,Home
82981234,General,Ready,Answer,Andhra Pradesh,Contacted,Flow to Field,,Hyderabad,Hyderabad Zone2,Email,Network Experience,Delay in Fault Repair / Quality of Fault Repair,Consumer,GoldNew,Individual
82981696,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Gold,Individual
82981706,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,MADURAI,Madurai,Walkin,Low/No Usage,Branch Closed,Consumer,Platinum,Home
82981796,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,MADURAI,Madurai,Email,Low/No Usage,Temporary Requirement,Consumer,GoldNew,Individual
82981866,General,Updated,Answer,Andhra Pradesh,Contacted,Retained,,Hyderabad,Hyderabad Zone1,Email,Low/No Usage,Excess Line,Consumer,GoldNew,Individual
82981978,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Chennai,ZONE3,AES Email,Low/No Usage,Branch/ Project Closed,Business,Platinum,Commercial
82982296,General,Updated,Answer,Gujarat,Contacted,Not Retained,,AHMEDABAD,Ahmedabad,Walkin,Low/No Usage,Temporary Requirement,Consumer,Platinum,Home
82982396,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Coimbatore,Coimbatore,Walkin,Low/No Usage,Usage shifted to Mobile/Dongle/Data card,Consumer,Platinum,Individual
82982684,General,Updated,Answer,Maharashtra,Contacted,Flow to Field,,PUNE,Pune,Retention,Shifting,Shifting abroad,Consumer,Gold,Home
82982684,General,Updated,No Answer,Maharashtra,Contacted,Flow to Field,,PUNE,Pune,Retention,Shifting,Shifting abroad,Consumer,Gold,Home
82983028,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Email,Service Related,Poor Service at ARC's,Consumer,GoldNew,Individual
82983404,General,Updated,Answer,Gujarat,Not Contacted,Flow to Field,,AHMEDABAD,Ahmedabad,Walkin,Low/No Usage,Temporary Requirement,Consumer,Gold,Home
82983726,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE1,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Business,GoldNew,Individual
82983860,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Email,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
82984360,General,Updated,SIT RO,Tamilnadu,Contacted,Retained,,TRICHY,Trichy,Voice Call,Low/No Usage,Branch Closed,Consumer,GoldNew,Individual
82984368,General,Updated,Abandoned,Tamilnadu,Contacted,Flow to Field,,Chennai,ZONE3,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Business,Platinum,Commercial
82984408,General,Updated,Abandoned,Kerala,Contacted,Flow to Field,,Ernakulam,Ernakulam,Email,Low/No Usage,Temporary Requirement,Consumer,Platinum,Commercial
82984504,General,Updated,Answer,Tamilnadu,Contacted,Retained,,TRICHY,ERODE,Walkin,Shifting,"Shifting to non wired area, within city",Consumer,Platinum,Individual
82984784,General,Updated,No Answer,Karnataka,Not Contacted,Flow to Field,,Mysore,Mysore,Voice Call,Low/No Usage,Branch Closed,Consumer,Platinum,Home
82984784,General,Updated,No Answer,Karnataka,Not Contacted,Flow to Field,,Mysore,Mysore,Voice Call,Low/No Usage,Branch Closed,Consumer,Platinum,Home
82984824,General,Updated,Answer,Gujarat,Not Contacted,Flow to Field,,AHMEDABAD,Ahmedabad,Walkin,Low/No Usage,Family member using net has moved out,Consumer,Platinum,Home
82984910,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Flow to Field,,MADURAI,Madurai,Walkin,Shifting,Customer shifting to non wired city,Consumer,Platinum,Individual
82984952,Campaign CallBack,Ready,Answer,Tamilnadu,Contacted,Not Retained,,Chennai,ZONE4,Out Call,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Individual
82985300,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,MADURAI,Madurai,Voice Call,Low/No Usage,Temporary Requirement,Consumer,GoldNew,Individual
82985484,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Bangalore,Bangalore North,Out Call,Low/No Usage,Taken a new competition connection,Consumer,Gold,Home
82985552,General,Updated,No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore North,Email,Low/No Usage,Family member using net has moved out,Consumer,Gold,Home
82985552,General,Updated,No Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore North,Email,Low/No Usage,Family member using net has moved out,Consumer,Gold,Home
82985912,General,Updated,Answer,Tamilnadu,Contacted,Retained,,MADURAI,Madurai,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
82986232,General,Updated,No Answer,Tamilnadu,Contacted,Flow to Field,,Coimbatore,Coimbatore,Voice Call,Shifting,Already taken a new airtel connection,Consumer,Platinum,Commercial
82986312,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Email,Shifting,Already taken a competition connection,Consumer,Platinum,Individual
82986448,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,TITANIUM CC,Competition,Higher Speed by competition,Consumer,Platinum,Individual
82986526,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Belgaum,BELGAUM,Walkin,Low/No Usage,Temporary Requirement,Consumer,Gold,Home
82986526,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Belgaum,BELGAUM,Walkin,Low/No Usage,Temporary Requirement,Consumer,Gold,Home
82986660,General,Updated,Answer,Andhra Pradesh,Contacted,Flow to Field,,Hyderabad,Hyderabad Zone1,Email,Shifting,Customer already taken a new connection of airtel,Consumer,Gold,Individual
82986870,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Chennai,ZONE3,Email,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Commercial
82986940,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,ZONE2,Out Call,Low/No Usage,Business Downsizing / Closed,Consumer,Platinum,Individual
82986944,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
82986972,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Others,ZONE1,Walkin,Low/No Usage,Usage shifted to Mobile/Dongle/Data card,Consumer,GoldNew,Individual
82987306,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Others,ZONE1,Email,Network Experience,Frequent Line Disconnection / Phone Dead,Consumer,GoldNew,Individual
82987330,General,Updated,Answer,Gujarat,Not Contacted,Flow to Field,,AHMEDABAD,Ahmedabad,Walkin,Low/No Usage,Temporary Requirement,Consumer,Gold,Home
82987378,General,Updated,Answer,Maharashtra,Contacted,Not Retained,,PUNE,Pune,Email,Shifting,Shifting abroad,Consumer,Platinum,Home
82987378,General,Updated,Answer,Maharashtra,Contacted,Not Retained,,PUNE,Pune,Email,Shifting,Shifting abroad,Consumer,Platinum,Home
82988098,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Coimbatore,Coimbatore,Shifting Rejects,Shifting,Already taken a new airtel connection,Consumer,Gold,Individual
82988264,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,Thane and Raigad,Appellate email,Network Experience,Browsing Experience,Consumer,Gold,Home
82988264,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,Thane and Raigad,Appellate email,Network Experience,Browsing Experience,Consumer,Gold,Home
82988302,General,Updated,Answer,Gujarat,Not Contacted,Flow to Field,,AHMEDABAD,Ahmedabad,Walkin,Low/No Usage,Temporary Requirement,Consumer,Gold,Home
82988314,General,Updated,Answer,Kerala,Contacted,Flow to Field,,Trivandrum,Trivandrum,Voice Call,Low/No Usage,Branch Closed,Consumer,GoldNew,Individual
82988444,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,MADURAI,Madurai,Voice Call,Network Experience,Frequent Line Disconnection / Phone Dead,Consumer,Gold,Individual
82988550,General,Updated,Answer,Gujarat,Contacted,Flow to Field,,AHMEDABAD,Ahmedabad,Walkin,Low/No Usage,Temporary Requirement,Consumer,Gold,Home
82988854,Campaign CallBack,Ready,Answer,Tamilnadu,Contacted,Flow to Field,,Others,ZONE2,Shifting Rejects,Shifting,"Shifting to non wired area, within city",Business,Gold,Micro
82989196,General,Updated,Dropped on No Answer,Tamilnadu,Not Contacted,Flow to Field,,Chennai,ZONE3,Out Call,Low/No Usage,Business Downsizing / Closed,Consumer,Gold,Individual
82989284,General,Updated,Answer,Tamilnadu,Contacted,Flow to Field,,MADURAI,Madurai,Email,Low/No Usage,Usage shifted to Mobile/Dongle/Data card,Consumer,Platinum,Individual
82989296,General,Updated,Answer,Andhra Pradesh,Contacted,Flow to Field,,Hyderabad,Hyderabad Zone1,Email,Network Experience,Frequent Line Disconnection / Phone Dead,Consumer,GoldNew,Individual
82989302,General,Ready,Others,Gujarat,Not Contacted,Flow to Field,,AHMEDABAD,Ahmedabad,Email,Shifting,"Shifting Not Possible - Distance Norms, Tags Unavailable, RoW/Permission",Consumer,Gold,Home
82989366,General,Updated,No Answer,Tamilnadu,Not Contacted,Flow to Field,,Others,ZONE1,Voice Call,Competition,BSNL - 1MBPS Throttle Speed,Consumer,Platinum,Individual
82989566,General,Updated,Answer,Mumbai,Contacted,Flow to Field,,Others,Central Mumbai,Out Call,Shifting,Already taken a new airtel connection,Consumer,Gold,Home
82989566,General,Updated,Dropped on No Answer,Mumbai,Contacted,Flow to Field,,Others,Central Mumbai,Out Call,Shifting,Already taken a new airtel connection,Consumer,Gold,Home
82989612,General,Updated,Answer,Andhra Pradesh,Contacted,Flow to Field,,Hyderabad,Hyderabad Zone2,Out Call,Shifting,Customer shifting to non wired city,Consumer,Gold,Individual
82989834,General,Updated,Dropped on No Answer,Karnataka,Not Contacted,Flow to Field,,Bangalore,Bangalore South,Email,Shifting,Customer shifting to non wired city,Consumer,Platinum,Home
82989834,General,Updated,Dropped on No Answer,Karnataka,Not Contacted,Flow to Field,,Bangalore,Bangalore South,Email,Shifting,Customer shifting to non wired city,Consumer,Platinum,Home
82989844,General,Updated,No Answer,Tamilnadu,Contacted,Retained,,Others,ZONE2,Voice Call,Low/No Usage,Temporary Requirement,Consumer,Platinum,Individual
82989872,General,Updated,Dropped on No Answer,Karnataka,Contacted,Not Retained,,Others,Mangalore,Out Call,Shifting,Shifting abroad,Consumer,GoldNew,Home
82989944,General,Updated,Answer,Mumbai,Contacted,Retained,,Others,Thane and Raigad,Voice Call,Low/No Usage,Branch Closed,Consumer,Gold,Home
82989944,General,Updated,Answer,Mumbai,Contacted,Retained,,Others,Thane and Raigad,Voice Call,Low/No Usage,Branch Closed,Consumer,Gold,Home
82990422,General,Updated,Answer,Tamilnadu,Contacted,Retained,,Chennai,ZONE4,Voice Call,Shifting,Shifting abroad,Consumer,GoldNew,Individual
82990424,General,Updated,Answer,Gujarat,Contacted,Flow to Field,,AHMEDABAD,Ahmedabad,Voice Call,Low/No Usage,Branch Closed,Business,Gold,Commercial
82990502,General,Updated,Answer,Mumbai,Contacted,Flow to Field,,Others,West Mumbai,Email,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Platinum,Home
82990502,General,Updated,No Answer,Mumbai,Contacted,Flow to Field,,Others,West Mumbai,Email,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Platinum,Home
82990616,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Email,Affordability Issue,Product Expensive,Consumer,Platinum,Home
82990616,General,Updated,Dropped on No Answer,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Email,Affordability Issue,Product Expensive,Consumer,Platinum,Home
82990860,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Retention,Shifting,Shifting to non-wired area,Consumer,Gold,Home
82990860,General,Updated,Answer,Mumbai,Contacted,Not Retained,,Others,West Mumbai,Retention,Shifting,Shifting to non-wired area,Consumer,Gold,Home
82991188,General,Updated,Answer,Tamilnadu,Contacted,Not Retained,,Others,ZONE1,Employee,Low/No Usage,Excess Line,Business,GoldNew,Commercial
82991282,General,Updated,Dropped on No Answer,Tamilnadu,Contacted,Flow to Field,,Chennai,ZONE3,Voice Call,Competition,BSNL - 1MBPS Throttle Speed,Consumer,Platinum,Individual
