S_SRNUMBER1,M_RECORD_TYPE,M_RECORD_STATUS,M_CALL_RESULT,CIRCLE,Contacted / Not Contacted,Retained / Not Retained,RetainedCode,REGION,ZONE,Source,CC_REASON,CC_SUBREASON,Customer Segment,Service Segment,Customer Class
83191652,General,Updated,Answer,Andhra Pradesh,Contacted,Flow to Field,,Hyderabad,Hyderabad Zone2,Voice Call,Shifting,Shifting to non-wired area,Consumer,Gold,Commercial
83191652,Campaign CallBack,Ready,Answer,Andhra Pradesh,Contacted,Flow to Field,,Hyderabad,Hyderabad Zone2,Voice Call,Shifting,Shifting to non-wired area,Consumer,Gold,Commercial
83191686,General,Updated,Abandoned,Tamilnadu,Contacted,Retained,,Chennai,ZONE3,Email,Shifting,Shifting abroad,Consumer,Gold,Individual
83191726,General,Updated,Abandoned,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Voice Call,Network Experience,Frequent Line Disconnection / Phone Dead,Consumer,Gold,Home
83191726,General,Updated,Answer,Karnataka,Contacted,Retained,,Bangalore,Bangalore South,Voice Call,Network Experience,Frequent Line Disconnection / Phone Dead,Consumer,Gold,Home
83191758,General,Updated,Dropped on No Answer,Karnataka,Contacted,Not Retained,,Others,MPAL,Email,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Platinum,Home
83191758,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Others,MPAL,Email,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Platinum,Home
83191758,General,Updated,Dropped on No Answer,Karnataka,Contacted,Not Retained,,Others,MPAL,Email,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Platinum,Home
83191758,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Others,MPAL,Email,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Platinum,Home
83191758,General,Updated,Dropped on No Answer,Karnataka,Contacted,Not Retained,,Others,MPAL,Email,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Platinum,Home
83191758,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Others,MPAL,Email,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Platinum,Home
83191758,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Others,MPAL,Email,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Platinum,Home
83191758,General,Updated,Answer,Karnataka,Contacted,Not Retained,,Others,MPAL,Email,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Platinum,Home
83191758,General,Updated,Dropped on No Answer,Karnataka,Contacted,Not Retained,,Others,MPAL,Email,Low/No Usage,Usage shift to mobile/datacard/4G,Consumer,Platinum,Home
